frame_idx,delta_trigger_ms,delta_read_ms,cam0_trigger_ms,cam0_read_ms,cam0_cv_ts,cam1_trigger_ms,cam1_read_ms,cam1_cv_ts,cam2_trigger_ms,cam2_read_ms,cam2_cv_ts
0,0.2308,0.884,1.5711,6.6199,0.0,1.0506,6.7126,0.0,0.8292,6.7086,0.0
1,0.1297,0.5063,0.8544,6.4307,0.0,1.5763,6.0855,0.0,1.1304,6.4412,0.0
2,0.0983,2366.9474,1.2987,6.2763,0.0,1.0321,4.969,0.0,1.5698,2371.2804,0.0
3,0.2508,242.4302,16.3536,237.3691,0.0,15.9686,237.5136,0.0,6.3563,5.187,0.0
4,0.2339,2.3221,0.8707,5.3319,0.0,1.1484,7.2945,0.0,1.3297,5.4584,0.0
5,0.2123,1.0135,1.5163,5.361,0.0,1.1443,5.2818,0.0,0.834,5.242,0.0
6,0.1359,2230.6784,0.8231,5.0735,0.0,1.4248,4.6533,0.0,1.1023,2235.4074,0.0
7,0.2435,253.3127,1.4393,257.9397,0.0,1.2366,257.8603,0.0,0.9722,5.3376,0.0
8,0.3551,94.7798,0.8632,100.4896,0.0,0.9807,5.3499,0.0,1.2189,5.4115,0.0
9,0.1487,1.3119,0.9202,4.4304,0.0,1.4319,5.082,0.0,1.1444,4.4356,0.0
10,0.2244,2158.9712,1.8906,4.9466,0.0,0.8153,5.0858,0.0,1.0998,2163.7198,0.0
